[2025-08-22 12:40:19] [INFO] Baza danych zainicjalizowana
[2025-08-22 12:40:19] [INFO] Przywrócono 201 zadań do kolejki
[2025-08-22 12:40:19] [INFO] 🚀 Worker pobierania uruchomiony
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 123, 'item_id': '401568129', 'url': None, 'output_path': '/downloads/series/Dexter Zmartwychwstanie (2025)/Season 02/Dexter Zmartwychwstanie - S02E07.mkv', 'title': 'Dexter Zmartwychwstanie - S02E07.mkv', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 124, 'item_id': '401568130', 'url': None, 'output_path': '/downloads/series/Dexter Zmartwychwstanie (2025)/Season 02/Dexter Zmartwychwstanie - S02E08.mkv', 'title': 'Dexter Zmartwychwstanie - S02E08.mkv', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 125, 'item_id': '401568131', 'url': None, 'output_path': '/downloads/series/Dexter Zmartwychwstanie (2025)/Season 02/Dexter Zmartwychwstanie - S02E09.mkv', 'title': 'Dexter Zmartwychwstanie - S02E09.mkv', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 126, 'item_id': '401568132', 'url': None, 'output_path': '/downloads/series/Dexter Zmartwychwstanie (2025)/Season 03/Dexter Zmartwychwstanie - S03E01.mkv', 'title': 'Dexter Zmartwychwstanie - S03E01.mkv', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 127, 'item_id': '401568133', 'url': None, 'output_path': '/downloads/series/Dexter Zmartwychwstanie (2025)/Season 03/Dexter Zmartwychwstanie - S03E02.mkv', 'title': 'Dexter Zmartwychwstanie - S03E02.mkv', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 128, 'item_id': '401568134', 'url': None, 'output_path': '/downloads/series/Dexter Zmartwychwstanie (2025)/Season 03/Dexter Zmartwychwstanie - S03E03.mkv', 'title': 'Dexter Zmartwychwstanie - S03E03.mkv', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 129, 'item_id': '401568135', 'url': None, 'output_path': '/downloads/series/Dexter Zmartwychwstanie (2025)/Season 03/Dexter Zmartwychwstanie - S03E04.mkv', 'title': 'Dexter Zmartwychwstanie - S03E04.mkv', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 130, 'item_id': '401568136', 'url': None, 'output_path': '/downloads/series/Dexter Zmartwychwstanie (2025)/Season 03/Dexter Zmartwychwstanie - S03E05.mkv', 'title': 'Dexter Zmartwychwstanie - S03E05.mkv', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 131, 'item_id': '401568137', 'url': None, 'output_path': '/downloads/series/Dexter Zmartwychwstanie (2025)/Season 03/Dexter Zmartwychwstanie - S03E06.mkv', 'title': 'Dexter Zmartwychwstanie - S03E06.mkv', 'item_type': 'series'}
[2025-08-22 12:40:19] [ERROR] ❌ Niekompletne zadanie: {'db_id': 132, 'item_id': '401568138', 'url': None, 'output_path': '/downloads/series/Dexter Zmartwychwstanie (2025)/Season 03/Dexter Zmartwychwstanie - S03E07.mkv', 'title': 'Dexter Zmartwychwstanie - S03E07.mkv', 'item_type': 'series'}
